SAMPLE_ID,STRUCTURE_ID,MEASURABLE?,SAMPLE_STATUS,SAMPLE_CURRENT_STATUS,TERMINATION_CAUSE,TERMINATION_STEP,TERMINATION_DETAILS,RXN_CHEMISTRY_TYPE,REACTION_SCALE_(mmol),SYNTHESIS_COMMENTS,PREFERRED_LCMS_METHOD,SPE_METHOD,SELECTED_FRACTIONS,VOLUME_COLLECTED_(mL),TOTAL_FRACTIONS_COLLECTED,RECOVERED_SAMPLE_DRY_MASS_(mg),PERCENT_YIELD,%_PURITY_(BY_LCMS),PURIFICATION_COMMENTS,
MTA0ST2022-051-009,MTA0ST2022-051-009,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F1L/F2S,12.69,1,17.5,37.30%,100%,,
MTA0ST2022-051-010,MTA0ST2022-051-010,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,,F3L,9.89,1,13.3,42.00%,99%,,
MTA0ST2022-051-011,MTA0ST2022-051-011,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,,F3L/F1S,13.17,1,16.9,0.00%,100%,,
MTA0ST2022-051-012,MTA0ST2022-051-012,,In progress,Synthesis,,,,amide coupling,0.1,,,,,,,,0.00%,,,
MTA0ST2022-051-013,MTA0ST2022-051-013,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,27.50%,,,
MTA0ST2022-051-014,MTA0ST2022-051-014,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F3L/F1S,12.1,1,10.8,35.10%,100%,,
MTA0ST2022-051-015,MTA0ST2022-051-015,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F1L/F3S,15.24,1,12.4,49.80%,100%,,
MTA0ST2022-051-016,MTA0ST2022-051-016,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,,F3L/F1S,14.09,1,18.7,36.70%,100%,,
MTA0ST2022-051-017,MTA0ST2022-051-017,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F1L/F3S,25.99,2,14.2,55.90%,100%,,
MTA0ST2022-051-018,MTA0ST2022-051-018,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L/F1S,10.73,1,19.7,38.80%,100%,,
MTA0ST2022-051-019,MTA0ST2022-051-019,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F1L/F3S,29.8,1,13.7,53.40%,100%,,
MTA0ST2022-051-020,MTA0ST2022-051-020,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F1L/F3S,13.59,4,19.6,0.00%,100%,,
MTA0ST2022-051-021,MTA0ST2022-051-021,,In progress,Awaiting materials,,,,amide coupling,0.1,,,,,,,,45.60%,,,
MTA0ST2022-051-022,MTA0ST2022-051-022,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L/F4S,33.01,2,15.6,57.30%,94%,,
MTA0ST2022-051-023,MTA0ST2022-051-023,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,MCX,F3L,20.74,1,19.5,5.50%,99%,,
MTA0ST2022-051-024,MTA0ST2022-051-024,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L/F4S,49.14,2,18,35.40%,93%,,
MTA0ST2022-051-025,MTA0ST2022-051-025,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,MCX,F3L/F4S,33,2,12.6,27.40%,94%,,
MTA0ST2022-051-026,MTA0ST2022-051-026,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,HLB,F4L/F3S,12.45,9,9.6,43.90%,100%,;high EIC baseline/lots of collected fractions;;;,
MTA0ST2022-051-027,MTA0ST2022-051-027,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,HLB,F3L,17.89,1,16,61.30%,96%,,
MTA0ST2022-051-028,MTA0ST2022-051-028,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,HLB,F3L,15.73,1,23.2,3.00%,98%,,
MTA0ST2022-051-029,MTA0ST2022-051-029,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,HLB,F4L/F3S,16.21,1,11.3,0.00%,99%,,
MTA0ST2022-052-001,MTA0ST2022-052-001,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-002,MTA0ST2022-052-002,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-003,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-004,MTA0ST2022-052-004,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-005,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-006,MTA0ST2022-052-006,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-007,MTA0ST2022-052-007,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-008,MTA0ST2022-052-008,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-009,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-010,MTA0ST2022-052-010,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-011,MTA0ST2022-052-011,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-012,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-013,MTA0ST2022-052-013,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-014,MTA0ST2022-052-014,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-015,MTA0ST2022-052-015,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-016,MTA0ST2022-052-016,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-017,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-018,MTA0ST2022-052-018,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-019,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-020,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-021,MTA0ST2022-052-021,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-022,MTA0ST2022-052-022,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-023,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-024,MTA0ST2022-052-024,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-025,MTA0ST2022-052-025,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-026,MTA0ST2022-052-026,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-027,MTA0ST2022-052-027,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-028,MTA0ST2022-052-028,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-029,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-030,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-031,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-032,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-033,MTA0ST2022-052-033,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-034,MTA0ST2022-052-034,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-035,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-036,MTA0ST2022-052-036,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-037,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-038,MTA0ST2022-052-038,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-039,MTA0ST2022-052-039,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-040,MTA0ST2022-052-040,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-041,MTA0ST2022-052-041,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-042,MTA0ST2022-052-042,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-043,MTA0ST2022-052-043,,In progress,Synthesis,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-044,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
MTA0ST2022-052-045,MTA0ST2022-052-003,,In progress,Awaiting materials,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-001,00YRB22-045-001,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-002,00YRB22-045-002,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-003,00YRB22-045-003,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-004,00YRB22-045-004,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-005,00YRB22-045-005,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-006,00YRB22-045-006,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-007,00YRB22-045-007,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-008,00YRB22-045-008,,Complete,Cancelled,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-009,00YRB22-045-009,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-010,00YRB22-045-010,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-011,00YRB22-045-011,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-012,00YRB22-045-012,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-013,00YRB22-045-013,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-014,00YRB22-045-014,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-015,00YRB22-045-015,,Complete,Cancelled,,,,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-016,00YRB22-045-016,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-017,00YRB22-045-017,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-018,00YRB22-045-018,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-019,00YRB22-045-019,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-020,00YRB22-045-020,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-021,00YRB22-045-021,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-022,00YRB22-045-022,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-023,00YRB22-045-023,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-024,00YRB22-045-024,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-025,00YRB22-045-025,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-026,00YRB22-045-026,,Failed,Terminated,Materials unavailable,Material(s) Procurement,Materials commercially unavailable,Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-027,00YRB22-045-027,,Complete,Cancelled,,,"Insufficient COI detected, below threshold failed to Validate ",Buchwald-Hartwig,0.1,,,,,,,,0.00%,,,
00YRB22-045-028,00YRB22-045-028,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",Buchwald-Hartwig,0.1,,,,,,,,8.70%,,,
00YRB22-046-001,00YRB22-046-001,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F3L/F4S,9.52,2,4.2,0.00%,100%,solubility issues during SPE; SPE solvent not fully eluting for F1/F2 into D2 vial and COI crashing out. Manually pushed solvent through SPE cartridge into F4 vial pre-aliquot creation using offline SPE unit and poured solvent into F3 so F3/F4 have same volume. Send to IO2,
00YRB22-046-002,00YRB22-046-002,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,Insufficient COI detected, below threshold",,0.1,,,HLB,no COI,,,,17.80%,,minimal COI in crude; not scheduling cycle 2,
00YRB22-046-003,00YRB22-046-003,TRUE,Complete,Completed & Shipped,,,,,0.1,"Lilly Chemist prefers basic SPE
",,HLB,F4L,10.1,1,7.6,16.20%,99%,solubility issues during SPE; SPE solvent not fully eluting for F1/F2 into D2 vial=F3 a bit full. Send to IO2,
00YRB22-046-004,00YRB22-046-004,TRUE,Failed,Repurification,,,,,0.1,,,HLB,F4L,16.47,2,7.2,11.00%,77%,,
00YRB22-046-004_RP,00YRB22-046-004,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F4L,8.44,1,4.9,28.30%,100%,;medium gradient/LpH;;;,
00YRB22-046-005,00YRB22-046-005,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F4L/F3S,14.6,1,12.6,18.80%,100%,send to IO2,
00YRB22-046-006,00YRB22-046-006,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F1L,13.27,1,8.5,#VALUE!,100%,"solubility issues during SPE; SPE solvent not fully eluting for any fractions; all SPE fractions manually poured into D2 vials; no actually SPE performed on product;""accidentally added too much DMSO to D2 injection vial for first run; had to resubmit offline. Added 9.78mL from 700001KDJ into Selected Fraction for a single PO12 run"";;;",
00YRB22-046-007,00YRB22-046-007,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",,,,,,,,,,#VALUE!,,,
00YRB22-046-008,00YRB22-046-008,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",,,,,,,,,,13.60%,,,
00YRB22-046-009,00YRB22-046-009,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F4L,7.54,2,6.6,15.20%,99%,RunNextmethod,
00YRB22-046-010_HLB,00YRB22-046-010,TRUE,Complete,Completed & Shipped,,,,,0.1,,Gemini LpH,HLB,F4L,8.06,1,6.5,32.80%,92%,,
00YRB22-046-010_MCX,00YRB22-046-010,TRUE,Complete,Completed & Shipped,,,,,0.1,,Xbridge HpH,MCX,F3L/F1S,23.83,1,14,34.20%,99%,send to IO2,
00YRB22-046-012,00YRB22-046-012,TRUE,Complete,Completed & Shipped,,,,,0.1,,,HLB,F4L/F1S,11.92,1,14.6,0.00%,100%,solubility issues during SPE; SPE solvent not fully eluting for F1/F2 into D2 vial,
00YRB22-047-001,00YRB22-047-001,,Complete,Cancelled,,,,urea formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,,
00YRB22-047-002a,00YRB22-047-002,,Failed,Terminated,System/Automation Error,PurLCMS (SAP6),LCMS detection issue,,0.1,,Xbridge HpH,MCX,F3L,0,1,,5.30%,,peak height=65;manually collected largest peak but was not COI. COI eluted with solvent front;;;,
00YRB22-047-002a_S2,00YRB22-047-002,TRUE,Complete,Completed & Shipped,,,,,0.1,,LunaOmega_LowpH,MCX,F3L,21.78,1,2.4,51.40%,100%,eluted in solvent front; RunNextMethod-Luna;;;some baseline inetgration in Virscidian;,
00YRB22-047-003_HLB,00YRB22-047-003,TRUE,Complete,Completed & Shipped,,,,,0.1,,Gemini LpH,HLB,F3L/F4S,16.08,1,18.4,27.60%,99%,no product seen in crude/first attempt. sample remade/SPE run cloned;;added MeOH to confirm dryness;;,
00YRB22-047-003_MCX,00YRB22-047-003,TRUE,Complete,Completed & Shipped,,,,,0.1,,Xbridge HpH,MCX,F3L,18.28,2,9.9,0.00%,97%,,
00YRB22-047-004,00YRB22-047-004,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,,
00YRB22-047-005,00YRB22-047-005,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold",urea formation,0.1,,Xbridge HpH,MCX,,,,,64.00%,,Unclear if these should be canceled?,
00YRB22-047-006,00YRB22-047-006,TRUE,Failed,Repurification,,,,urea formation,0.1,,Xbridge HpH,MCX,F3L/F1S,14.18,1,23,4.90%,85%,"Manual PurLCMS. Send to IO2;;""",
00YRB22-047-006_RP,00YRB22-047-006,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Xbridge HpH,MCX,F3L/F1S,13.28,1,14.7,0.00%,99%,";;
Manual PurLCMS. Send to IO2;LpH. 2nd injection done offline; added 11.9mL from 700001KLE to Selected D2 in PO12 run"";;;",
00YRB22-047-007,00YRB22-047-007,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,,
00YRB22-047-008,00YRB22-047-008,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,,
00YRB22-047-009,00YRB22-047-009,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,67.50%,,,
00YRB22-047-010,00YRB22-047-010,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Gemini LpH,MCX,F3L/F1S,12.61,4,24.6,0.00%,91%,manual PurLCMS;all group 1 (isobar 1) not Selected;;;,
00YRB22-047-011,00YRB22-047-011,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,0.00%,,,
00YRB22-047-012,00YRB22-047-012,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,57.90%,,,
00YRB22-047-013,00YRB22-047-013,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Gemini LpH,MCX,F3L/F4S,19.05,2,25.6,0.00%,99%,F1=99; F4=45; manually switched small fraction to F4 in PurLCMS,
00YRB22-047-014,00YRB22-047-014,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,64.10%,,,
00YRB22-047-015,00YRB22-047-015,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Gemini LpH,MCX,F3L/F1S,16.14,1,72.2,0.00%,100%,Send to IO2;;dried in Genovac overnight;;0.3mmol of limiting reagent used in synthesis,
00YRB22-047-016,00YRB22-047-016,,Failed,Terminated,Challenges of Sample/Chemistry,PurLCMS (SAP6),"Poor peak shape, below slope threshold",urea formation,0.1,,Xbridge HpH,MCX,F3L,,0,,4.40%,,;sample eluted with solvent front peak;;;,
00YRB22-047-017,00YRB22-047-017,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Gemini LpH,MCX,F3L/F1S,15.56,1,16.1,8.30%,99%,Send to IO2,
00YRB22-047-018,00YRB22-047-018,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Xbridge HpH,MCX,F1L,5.91,1,3.4,0.00%,85%,Crude peak height 31.,
00YRB22-047-019,00YRB22-047-019,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,1.50%,,,
00YRB22-047-020,00YRB22-047-020,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Gemini LpH,MCX,F3L/F4S,4.13,3,4.2,18.90%,91%,RunNextMethod; lots of Isobars observed; Gemini/Luna,
00YRB22-047-021,00YRB22-047-021,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,LunaOmega_LowpH,MCX,F3L,17.92,1,7.5,0.00%,92%,RunNextMethod Luna.;column not properly conditioned;;;,
00YRB22-047-022,00YRB22-047-022,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",urea formation,0.1,,Xbridge HpH,MCX,,,,,3.30%,,,
00YRB22-047-023,00YRB22-047-023,TRUE,Complete,Completed & Shipped,,,,urea formation,0.1,,Xbridge HpH,MCX,F1L/F2S,10.24,1,1.3,44.60%,97%,manual PurLCMS. Send to IO2,
